position,team,points,played,won,drawn,lost,goals_for,goals_against,goal_difference
1,FC Barcelona,12,4,4,0,0,13,3,+10
2,Real Madrid,8,4,2,2,0,7,2,+5
3,Atlético de Madrid,8,4,2,2,0,6,2,+4
4,Villarreal CF,8,4,2,2,0,9,7,+2
5,Girona FC,7,4,2,1,1,7,4,+3
6,Deportivo Alavés,7,4,2,1,1,5,3,+2
7,CA Osasuna,7,4,2,1,1,5,7,-2
8,RC Celta,6,4,2,0,2,10,9,+1
9,CD Leganés,5,4,1,2,1,3,3,0
10,RCD Mallorca,5,4,1,2,1,2,2,0
11,Real Betis,5,4,1,2,1,3,4,-1
12,Rayo Vallecano,4,4,1,1,2,4,5,-1
13,Real Sociedad,4,4,1,1,2,3,4,-1
14,Athletic Club,4,4,1,1,2,3,4,-1
15,RCD Espanyol de Barcelona,4,4,1,1,2,2,3,-1
16,Real Valladolid CF,4,4,1,1,2,1,10,-9
17,Getafe CF,3,4,0,3,1,2,3,-1
18,UD Las Palmas,2,4,0,2,2,4,7,-3
19,Sevilla FC,2,4,0,2,2,3,6,-3
20,Valencia CF,1,4,0,1,3,3,7,-4
